name,alpha-3,%_cheaper_2018,%_cheaper_2030
Australia,AUS,0.3719769673704415,0.7189746289610911
China,CHN,0.3201123473906991,0.9995584988962471
India,IND,0.6154842206969567,0.9997475632844822
Indonesia,IDN,0.0,0.7304239323665715
Japan,JPN,0.0,1.0
Philippines,PHL,0.0,0.4773686368616157
Russia,RUS,0.0,0.10105423768592994
South Africa,ZAF,0.01895495040121312,0.8672890208715065
South Korea,,0.0,0.9937535250193924
Turkey,TUR,0.0,1.0
Ukraine,UKR,0.0,1.0
United States,USA,0.70438108128131,1.0
Vietnam,VNM,0.0,0.0
Austria,AUT,0.20371732254924674,1.0
Belgium,BEL,0.20371732254924674,1.0
Bulgaria,BGR,0.20371732254924674,1.0
Croatia,HRV,0.20371732254924674,1.0
Cyprus,CYP,0.20371732254924674,1.0
Czech Republic,CZE,0.20371732254924674,1.0
Denmark,DNK,0.20371732254924674,1.0
Estonia,EST,0.20371732254924674,1.0
Finland,FIN,0.20371732254924674,1.0
France,FRA,0.20371732254924674,1.0
Germany,DEU,0.20371732254924674,1.0
Greece,GRC,0.20371732254924674,1.0
Hungary,HUN,0.20371732254924674,1.0
Ireland,IRL,0.20371732254924674,1.0
Italy,ITA,0.20371732254924674,1.0
Latvia,LVA,0.20371732254924674,1.0
Lithuania,LTU,0.20371732254924674,1.0
Luxembourg,LUX,0.20371732254924674,1.0
Malta,MLT,0.20371732254924674,1.0
Netherlands,NLD,0.20371732254924674,1.0
Poland,POL,0.20371732254924674,1.0
Portugal,PRT,0.20371732254924674,1.0
Romania,ROU,0.20371732254924674,1.0
Slovakia,SVK,0.20371732254924674,1.0
Slovenia,SVN,0.20371732254924674,1.0
Spain,ESP,0.20371732254924674,1.0
Sweden,SWE,0.20371732254924674,1.0
United Kingdom,GBR,0.20371732254924674,1.0
